"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"測試 ScriptInterface 的預設值初始化","0","test_init_defaults","core.test","Wed Feb 04 15:29:02 UTC 2026","passed","Wed Feb 04 15:29:02 UTC 2026","TestScriptInterface","test_script_interface","",""
"Verify OCR logic by programmatically drawing characters and matching them.","4","Test ocr_character with synthetic templates","core.test","Wed Feb 04 15:29:02 UTC 2026","passed","Wed Feb 04 15:29:02 UTC 2026","TestOpenCvService","OpenCV Core Tests","",""
"","0","TestHelperProcess","","Wed Feb 04 15:29:00 UTC 2026","passed","Wed Feb 04 15:29:00 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","10","TestListScripts_Mock","","Wed Feb 04 15:29:00 UTC 2026","passed","Wed Feb 04 15:29:00 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","0","TestGetAssetPath_Security/Path_escape_attempt_(parent)","","Wed Feb 04 15:29:00 UTC 2026","passed","Wed Feb 04 15:29:00 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"Verify that find_match returns a perfect score (near 0 for SQDIFF) and correct coordinates for an exact match.","10","Test find_match with exact match","core.test","Wed Feb 04 15:29:02 UTC 2026","passed","Wed Feb 04 15:29:02 UTC 2026","TestOpenCvService","OpenCV Core Tests","",""
"","1","Test ocr_pattern with synthetic templates","core.test","Wed Feb 04 15:29:02 UTC 2026","passed","Wed Feb 04 15:29:02 UTC 2026","TestOpenCvService","OpenCV Core Tests","",""
"","0","TestGetAssetPath_Security/Valid_asset_in_project","","Wed Feb 04 15:29:00 UTC 2026","passed","Wed Feb 04 15:29:00 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"Verify that 'python core/entry.py list' returns a valid JSON array of scripts","220","Test 'list' command output format","core.test","Wed Feb 04 15:29:02 UTC 2026","passed","Wed Feb 04 15:29:02 UTC 2026","TestEntryCLI","CLI Tests","",""
"","0","TestGetAssetPath_Security","","Wed Feb 04 15:29:00 UTC 2026","passed","Wed Feb 04 15:29:00 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","0","Test path security in MatchOCRAdaptor","core.test","Wed Feb 04 15:29:02 UTC 2026","passed","Wed Feb 04 15:29:02 UTC 2026","TestOpenCvService","OpenCV Core Tests","",""
"","0","TestGetAssetPath_Security/Path_escape_attempt_(absolute_Windows)","","Wed Feb 04 15:29:00 UTC 2026","passed","Wed Feb 04 15:29:00 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
"","196","Test run command with missing script id","core.test","Wed Feb 04 15:29:02 UTC 2026","passed","Wed Feb 04 15:29:02 UTC 2026","TestEntryCLI","CLI Tests","",""
"","193","Test unknown command","core.test","Wed Feb 04 15:29:02 UTC 2026","passed","Wed Feb 04 15:29:02 UTC 2026","TestEntryCLI","CLI Tests","",""
"測試 image_root 的路徑計算是否正確","0","test_image_root_calculation","core.test","Wed Feb 04 15:29:02 UTC 2026","passed","Wed Feb 04 15:29:02 UTC 2026","TestScriptInterface","test_script_interface","",""
"","0","TestGetAssetPath_Security/Root_access_(allowed_within_project)","","Wed Feb 04 15:29:00 UTC 2026","passed","Wed Feb 04 15:29:00 UTC 2026","","script-platform/server/process_manager","script-platform/server/process_manager",""
